[01:02:22] Started at 2026-05-22T01:02:22.421100
[01:02:22] Python 3.12.4, lightgbm 4.6.0, xgboost 2.1.4, catboost installed
[01:02:22] Targets:  ['gender', 'age', 'mood']
[01:02:22] Families: ['lgb', 'xgb', 'cat', 'hgb', 'et']
[01:02:22] Trials:   lgb=300 xgb=250 cat=150 hgb=80 et=60
[01:02:22] Top-K stack: lgb=5 xgb=4 cat=4 hgb=3 et=2
[01:02:22] Resumable mode: False
[01:02:22] X: (6710, 441)  gender boys/girls=2758/3952  age mean=20.8  mood mean=18.1
[01:02:22] 
############# TARGET: GENDER #############
[01:02:22] --- LGB search on gender: 300 trials ---
[01:36:00]   trial  59/300  AUC=0.8203  (31.0s, elapsed 33.6m, eta 137.4m)
[01:36:10]   trial  60/300  AUC=0.8559  (9.9s, elapsed 33.8m, eta 135.2m)
[01:37:33]   trial  61/300  AUC=0.8580  (82.9s, elapsed 35.2m, eta 137.9m)
[01:37:46]   trial  62/300  AUC=0.8615  (13.1s, elapsed 35.4m, eta 135.9m)
[01:37:53]   trial  63/300  AUC=0.8358  (6.8s, elapsed 35.5m, eta 133.6m)
[01:38:09]   trial  64/300  AUC=0.8001  (16.5s, elapsed 35.8m, eta 132.0m)
[01:38:55]   trial  65/300  AUC=0.8676  (45.3s, elapsed 36.5m, eta 132.1m)
[01:39:18]   trial  66/300  AUC=0.8418  (23.4s, elapsed 36.9m, eta 131.0m)
[01:39:37]   trial  67/300  AUC=0.8714  (19.2s, elapsed 37.3m, eta 129.6m)
[01:39:50]   trial  68/300  AUC=0.8655  (13.0s, elapsed 37.5m, eta 127.9m)
[01:40:13]   trial  69/300  AUC=0.8698  (22.2s, elapsed 37.8m, eta 126.7m)
[01:40:37]   trial  70/300  AUC=0.8058  (24.5s, elapsed 38.3m, eta 125.7m)
[01:43:00]   trial  71/300  AUC=0.8673  (143.0s, elapsed 40.6m, eta 131.1m)
[01:43:11]   trial  72/300  AUC=0.8359  (11.3s, elapsed 40.8m, eta 129.3m)
[01:43:27]   trial  73/300  AUC=0.8613  (15.8s, elapsed 41.1m, eta 127.8m)
[01:43:37]   trial  74/300  AUC=0.8494  (9.6s, elapsed 41.2m, eta 126.0m)
[01:44:20]   trial  75/300  AUC=0.8231  (42.7s, elapsed 42.0m, eta 125.9m)
[01:44:31]   trial  76/300  AUC=0.8302  (11.6s, elapsed 42.2m, eta 124.2m)
[01:44:43]   trial  77/300  AUC=0.8074  (12.3s, elapsed 42.4m, eta 122.7m)
[01:44:58]   trial  78/300  AUC=0.8625  (14.1s, elapsed 42.6m, eta 121.2m)
[01:45:13]   trial  79/300  AUC=0.8678  (15.3s, elapsed 42.8m, eta 119.9m)
[01:45:20]   trial  80/300  AUC=0.8512  (7.5s, elapsed 43.0m, eta 118.2m)
[01:45:31]   trial  81/300  AUC=0.8070  (11.0s, elapsed 43.2m, eta 116.7m)
[01:47:18]   trial  82/300  AUC=0.8730  (107.0s, elapsed 44.9m, eta 119.5m)
[01:47:44]   trial  83/300  AUC=0.8666  (25.5s, elapsed 45.4m, eta 118.6m)
[01:48:16]   trial  84/300  AUC=0.8645  (32.5s, elapsed 45.9m, eta 118.0m)
[01:48:27]   trial  85/300  AUC=0.8667  (10.5s, elapsed 46.1m, eta 116.6m)
[01:48:38]   trial  86/300  AUC=0.8376  (11.5s, elapsed 46.3m, eta 115.2m)
[01:48:49]   trial  87/300  AUC=0.8227  (10.6s, elapsed 46.5m, eta 113.7m)
[01:49:07]   trial  88/300  AUC=0.8461  (18.1s, elapsed 46.8m, eta 112.6m)
[01:49:24]   trial  89/300  AUC=0.8589  (16.5s, elapsed 47.0m, eta 111.5m)
[01:49:35]   trial  90/300  AUC=0.7902  (11.1s, elapsed 47.2m, eta 110.2m)
[01:49:41]   trial  91/300  AUC=0.8371  (6.2s, elapsed 47.3m, eta 108.7m)
[01:49:58]   trial  92/300  AUC=0.8537  (16.5s, elapsed 47.6m, eta 107.6m)
[01:50:19]   trial  93/300  AUC=0.8525  (21.7s, elapsed 48.0m, eta 106.7m)
[01:50:41]   trial  94/300  AUC=0.8577  (21.9s, elapsed 48.3m, eta 105.9m)
[01:51:20]   trial  95/300  AUC=0.8277  (39.1s, elapsed 49.0m, eta 105.7m)
[01:51:39]   trial  96/300  AUC=0.8664  (18.2s, elapsed 49.3m, eta 104.7m)
[01:52:04]   trial  97/300  AUC=0.8728  (25.3s, elapsed 49.7m, eta 104.0m)
[01:52:17]   trial  98/300  AUC=0.8079  (13.5s, elapsed 49.9m, eta 102.9m)
[01:52:29]   trial  99/300  AUC=0.8696  (12.0s, elapsed 50.1m, eta 101.8m)
[01:52:47]   trial 100/300  AUC=0.8683  (17.7s, elapsed 50.4m, eta 100.8m)
[01:53:08]   trial 101/300  AUC=0.8438  (21.1s, elapsed 50.8m, eta 100.0m)
[01:53:35]   trial 102/300  AUC=0.8650  (26.5s, elapsed 51.2m, eta 99.4m)
[01:54:01]   trial 103/300  AUC=0.8615  (26.1s, elapsed 51.6m, eta 98.8m)
[01:54:26]   trial 104/300  AUC=0.8748  (25.3s, elapsed 52.1m, eta 98.1m)
[01:55:12]   trial 105/300  AUC=0.8683  (45.4s, elapsed 52.8m, eta 98.1m)
[01:55:54]   trial 106/300  AUC=0.8446  (42.7s, elapsed 53.5m, eta 98.0m)
[01:57:03]   trial 107/300  AUC=0.8662  (68.7s, elapsed 54.7m, eta 98.6m)
[01:57:15]   trial 108/300  AUC=0.8539  (12.4s, elapsed 54.9m, eta 97.6m)
[01:57:28]   trial 109/300  AUC=0.8639  (12.9s, elapsed 55.1m, eta 96.6m)
[01:57:52]   trial 110/300  AUC=0.8047  (23.4s, elapsed 55.5m, eta 95.9m)
[01:58:11]   trial 111/300  AUC=0.8708  (19.9s, elapsed 55.8m, eta 95.1m)
[02:00:03]   trial 112/300  AUC=0.8730  (112.0s, elapsed 57.7m, eta 96.8m)
[02:00:16]   trial 113/300  AUC=0.8562  (13.0s, elapsed 57.9m, eta 95.8m)
[02:00:31]   trial 114/300  AUC=0.8665  (14.2s, elapsed 58.1m, eta 94.9m)
[02:01:28]   trial 115/300  AUC=0.8710  (57.2s, elapsed 59.1m, eta 95.1m)
[02:03:36]   trial 116/300  AUC=0.8427  (128.0s, elapsed 61.2m, eta 97.1m)
[02:04:29]   trial 117/300  AUC=0.8666  (53.4s, elapsed 62.1m, eta 97.2m)
[02:04:41]   trial 118/300  AUC=0.8512  (12.3s, elapsed 62.3m, eta 96.1m)
[02:05:33]   trial 119/300  AUC=0.8697  (51.7s, elapsed 63.2m, eta 96.1m)
[02:05:52]   trial 120/300  AUC=0.8531  (18.7s, elapsed 63.5m, eta 95.2m)
[02:06:05]   trial 121/300  AUC=0.8598  (13.4s, elapsed 63.7m, eta 94.3m)
[02:06:55]   trial 122/300  AUC=0.8588  (49.9s, elapsed 64.6m, eta 94.2m)
[02:07:30]   trial 123/300  AUC=0.8473  (34.8s, elapsed 65.1m, eta 93.7m)
[02:08:19]   trial 124/300  AUC=0.8310  (49.1s, elapsed 66.0m, eta 93.6m)
[02:08:28]   trial 125/300  AUC=0.8517  (9.4s, elapsed 66.1m, eta 92.6m)
[02:08:49]   trial 126/300  AUC=0.8725  (21.1s, elapsed 66.5m, eta 91.8m)
[02:09:11]   trial 127/300  AUC=0.8441  (21.5s, elapsed 66.8m, eta 91.0m)
[02:09:31]   trial 128/300  AUC=0.8633  (19.6s, elapsed 67.1m, eta 90.2m)
[02:09:56]   trial 129/300  AUC=0.8714  (24.9s, elapsed 67.6m, eta 89.6m)
[02:10:18]   trial 130/300  AUC=0.8560  (22.6s, elapsed 67.9m, eta 88.8m)
[02:10:45]   trial 131/300  AUC=0.8705  (26.5s, elapsed 68.4m, eta 88.2m)
[02:11:04]   trial 132/300  AUC=0.8544  (19.4s, elapsed 68.7m, eta 87.4m)
[02:11:15]   trial 133/300  AUC=0.8581  (11.2s, elapsed 68.9m, eta 86.5m)
[02:11:22]   trial 134/300  AUC=0.8269  (6.9s, elapsed 69.0m, eta 85.5m)
[02:11:31]   trial 135/300  AUC=0.8628  (9.2s, elapsed 69.2m, eta 84.5m)
[02:12:17]   trial 136/300  AUC=0.8721  (45.2s, elapsed 69.9m, eta 84.3m)
[02:12:26]   trial 137/300  AUC=0.8567  (9.1s, elapsed 70.1m, eta 83.4m)
[02:13:34]   trial 138/300  AUC=0.8537  (67.9s, elapsed 71.2m, eta 83.6m)
[02:13:51]   trial 139/300  AUC=0.8520  (17.2s, elapsed 71.5m, eta 82.8m)
[02:14:33]   trial 140/300  AUC=0.8539  (42.1s, elapsed 72.2m, eta 82.5m)
[02:15:04]   trial 141/300  AUC=0.8611  (30.7s, elapsed 72.7m, eta 82.0m)
[02:15:36]   trial 142/300  AUC=0.8482  (32.7s, elapsed 73.2m, eta 81.5m)
[02:15:53]   trial 143/300  AUC=0.8623  (16.3s, elapsed 73.5m, eta 80.7m)
[02:16:51]   trial 144/300  AUC=0.8683  (58.1s, elapsed 74.5m, eta 80.7m)
[02:17:33]   trial 145/300  AUC=0.8657  (41.9s, elapsed 75.2m, eta 80.4m)
[02:17:42]   trial 146/300  AUC=0.8563  (9.5s, elapsed 75.3m, eta 79.5m)
[02:19:36]   trial 147/300  AUC=0.8738  (113.9s, elapsed 77.2m, eta 80.4m)
[02:20:05]   trial 148/300  AUC=0.8702  (28.8s, elapsed 77.7m, eta 79.8m)
[02:20:46]   trial 149/300  AUC=0.8657  (41.4s, elapsed 78.4m, eta 79.5m)
[02:21:37]   trial 150/300  AUC=0.8676  (51.0s, elapsed 79.3m, eta 79.3m)
[02:21:51]   trial 151/300  AUC=0.8373  (13.9s, elapsed 79.5m, eta 78.4m)
[02:22:33]   trial 152/300  AUC=0.8595  (41.9s, elapsed 80.2m, eta 78.1m)
[02:23:00]   trial 153/300  AUC=0.8410  (27.2s, elapsed 80.6m, eta 77.5m)
[02:23:10]   trial 154/300  AUC=0.8565  (9.5s, elapsed 80.8m, eta 76.6m)
[02:24:18]   trial 155/300  AUC=0.8726  (68.3s, elapsed 81.9m, eta 76.7m)
[02:24:37]   trial 156/300  AUC=0.8752  (18.8s, elapsed 82.3m, eta 75.9m)  *
[02:25:00]   trial 157/300  AUC=0.8584  (22.7s, elapsed 82.6m, eta 75.3m)
[02:26:04]   trial 158/300  AUC=0.8747  (64.5s, elapsed 83.7m, eta 75.2m)
[02:26:59]   trial 159/300  AUC=0.8600  (54.7s, elapsed 84.6m, eta 75.0m)
[02:27:10]   trial 160/300  AUC=0.8517  (11.0s, elapsed 84.8m, eta 74.2m)
[02:27:47]   trial 161/300  AUC=0.8710  (37.2s, elapsed 85.4m, eta 73.7m)
[02:28:21]   trial 162/300  AUC=0.8631  (33.7s, elapsed 86.0m, eta 73.2m)
[02:28:31]   trial 163/300  AUC=0.8537  (10.7s, elapsed 86.2m, eta 72.4m)
[02:28:39]   trial 164/300  AUC=0.8385  (7.8s, elapsed 86.3m, eta 71.6m)
[02:29:27]   trial 165/300  AUC=0.8520  (47.4s, elapsed 87.1m, eta 71.2m)
[02:29:42]   trial 166/300  AUC=0.8630  (15.7s, elapsed 87.3m, eta 70.5m)
[02:29:56]   trial 167/300  AUC=0.8584  (13.5s, elapsed 87.6m, eta 69.7m)
[02:30:16]   trial 168/300  AUC=0.8674  (20.4s, elapsed 87.9m, eta 69.1m)
[02:30:35]   trial 169/300  AUC=0.8403  (18.8s, elapsed 88.2m, eta 68.4m)
[02:30:45]   trial 170/300  AUC=0.8582  (9.8s, elapsed 88.4m, eta 67.6m)
[02:31:00]   trial 171/300  AUC=0.7912  (15.5s, elapsed 88.6m, eta 66.9m)
[02:31:16]   trial 172/300  AUC=0.8652  (15.3s, elapsed 88.9m, eta 66.2m)
[02:31:29]   trial 173/300  AUC=0.8501  (13.3s, elapsed 89.1m, eta 65.4m)
[02:31:44]   trial 174/300  AUC=0.8699  (14.7s, elapsed 89.4m, eta 64.7m)
[02:32:21]   trial 175/300  AUC=0.8604  (37.7s, elapsed 90.0m, eta 64.3m)
[02:34:31]   trial 176/300  AUC=0.8297  (129.7s, elapsed 92.2m, eta 64.9m)
[02:34:48]   trial 177/300  AUC=0.8665  (17.1s, elapsed 92.4m, eta 64.2m)
[02:35:48]   trial 178/300  AUC=0.8628  (60.0s, elapsed 93.4m, eta 64.0m)
[02:36:07]   trial 179/300  AUC=0.8620  (18.4s, elapsed 93.7m, eta 63.4m)
[02:36:18]   trial 180/300  AUC=0.8634  (11.1s, elapsed 93.9m, eta 62.6m)
[02:36:31]   trial 181/300  AUC=0.8584  (13.3s, elapsed 94.2m, eta 61.9m)
[02:36:39]   trial 182/300  AUC=0.8078  (7.5s, elapsed 94.3m, eta 61.1m)
[02:36:52]   trial 183/300  AUC=0.8621  (13.8s, elapsed 94.5m, eta 60.4m)
[02:37:15]   trial 184/300  AUC=0.8059  (23.0s, elapsed 94.9m, eta 59.8m)
[02:37:41]   trial 185/300  AUC=0.8639  (25.5s, elapsed 95.3m, eta 59.3m)
[02:38:35]   trial 186/300  AUC=0.8739  (53.9s, elapsed 96.2m, eta 59.0m)
[02:39:05]   trial 187/300  AUC=0.8606  (30.4s, elapsed 96.7m, eta 58.4m)
[02:39:15]   trial 188/300  AUC=0.8648  (9.7s, elapsed 96.9m, eta 57.7m)
[02:39:38]   trial 189/300  AUC=0.8457  (23.5s, elapsed 97.3m, eta 57.1m)
[02:39:53]   trial 190/300  AUC=0.8698  (14.5s, elapsed 97.5m, eta 56.5m)
[02:40:13]   trial 191/300  AUC=0.8674  (19.6s, elapsed 97.8m, eta 55.8m)
[02:40:21]   trial 192/300  AUC=0.8624  (8.6s, elapsed 98.0m, eta 55.1m)
[02:40:50]   trial 193/300  AUC=0.8530  (29.3s, elapsed 98.5m, eta 54.6m)
[02:41:22]   trial 194/300  AUC=0.8083  (31.2s, elapsed 99.0m, eta 54.1m)
[02:41:45]   trial 195/300  AUC=0.8521  (23.2s, elapsed 99.4m, eta 53.5m)
[02:42:17]   trial 196/300  AUC=0.8347  (32.4s, elapsed 99.9m, eta 53.0m)
[02:42:32]   trial 197/300  AUC=0.8679  (14.6s, elapsed 100.2m, eta 52.4m)
[02:42:42]   trial 198/300  AUC=0.8457  (10.5s, elapsed 100.3m, eta 51.7m)
[02:42:56]   trial 199/300  AUC=0.8688  (13.8s, elapsed 100.6m, eta 51.0m)
[02:43:11]   trial 200/300  AUC=0.8692  (15.1s, elapsed 100.8m, eta 50.4m)
[02:43:25]   trial 201/300  AUC=0.8729  (13.8s, elapsed 101.1m, eta 49.8m)
[02:43:42]   trial 202/300  AUC=0.8630  (16.8s, elapsed 101.3m, eta 49.2m)
[02:43:51]   trial 203/300  AUC=0.8510  (9.3s, elapsed 101.5m, eta 48.5m)
[02:44:22]   trial 204/300  AUC=0.8575  (31.2s, elapsed 102.0m, eta 48.0m)
[02:44:51]   trial 205/300  AUC=0.8445  (28.4s, elapsed 102.5m, eta 47.5m)
[02:45:01]   trial 206/300  AUC=0.8492  (9.7s, elapsed 102.6m, eta 46.8m)
[02:45:52]   trial 207/300  AUC=0.8729  (51.0s, elapsed 103.5m, eta 46.5m)
[02:46:56]   trial 208/300  AUC=0.8606  (64.3s, elapsed 104.6m, eta 46.2m)
[02:47:16]   trial 209/300  AUC=0.8599  (20.3s, elapsed 104.9m, eta 45.7m)
[02:47:27]   trial 210/300  AUC=0.8584  (10.9s, elapsed 105.1m, eta 45.0m)
[02:47:45]   trial 211/300  AUC=0.8129  (17.8s, elapsed 105.4m, eta 44.4m)
[02:48:14]   trial 212/300  AUC=0.8660  (29.4s, elapsed 105.9m, eta 43.9m)
[02:48:20]   trial 213/300  AUC=0.8514  (6.0s, elapsed 106.0m, eta 43.3m)
[02:48:31]   trial 214/300  AUC=0.8712  (10.8s, elapsed 106.2m, eta 42.7m)
[02:49:02]   trial 215/300  AUC=0.8576  (30.7s, elapsed 106.7m, eta 42.2m)
[02:49:59]   trial 216/300  AUC=0.8435  (56.9s, elapsed 107.6m, eta 41.8m)
[02:50:55]   trial 217/300  AUC=0.8564  (56.6s, elapsed 108.6m, eta 41.5m)
[02:51:04]   trial 218/300  AUC=0.8480  (8.5s, elapsed 108.7m, eta 40.9m)
[02:52:04]   trial 219/300  AUC=0.8316  (60.4s, elapsed 109.7m, eta 40.6m)
[02:52:21]   trial 220/300  AUC=0.8381  (16.7s, elapsed 110.0m, eta 40.0m)
[02:52:32]   trial 221/300  AUC=0.8594  (11.1s, elapsed 110.2m, eta 39.4m)
[02:52:53]   trial 222/300  AUC=0.8726  (21.1s, elapsed 110.5m, eta 38.8m)
[02:53:01]   trial 223/300  AUC=0.8431  (7.9s, elapsed 110.6m, eta 38.2m)
[02:53:11]   trial 224/300  AUC=0.8712  (10.3s, elapsed 110.8m, eta 37.6m)
[02:53:34]   trial 225/300  AUC=0.8639  (23.3s, elapsed 111.2m, eta 37.1m)
[02:53:37]   trial 226/300  AUC=0.7870  (2.7s, elapsed 111.3m, eta 36.4m)
[02:53:58]   trial 227/300  AUC=0.8696  (21.1s, elapsed 111.6m, eta 35.9m)
