family,target,trial,score,dt,params
lgb,gender,12,0.856719,18.13,"{""n_estimators"": 1200, ""learning_rate"": 0.02241784018995546, ""num_leaves"": 31, ""max_depth"": 9, ""min_child_samples"": 120, ""feature_fraction"": 0.7, ""bagging_fraction"": 1.0, ""bagging_freq"": 0, ""reg_alpha"": 0.5489465397224121, ""reg_lambda"": 8.039909798015021, ""min_split_gain"": 0.03637418705142172, ""path_smooth"": 0.1, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,13,0.868342,68.41,"{""n_estimators"": 5000, ""learning_rate"": 0.009429617111758892, ""num_leaves"": 255, ""max_depth"": 5, ""min_child_samples"": 5, ""feature_fraction"": 0.7, ""bagging_fraction"": 0.6, ""bagging_freq"": 1, ""reg_alpha"": 0.0060172558883519875, ""reg_lambda"": 0.2676944192228141, ""min_split_gain"": 0.003104215010783611, ""path_smooth"": 1.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,14,0.873071,47.18,"{""n_estimators"": 3500, ""learning_rate"": 0.017910655089737815, ""num_leaves"": 63, ""max_depth"": 6, ""min_child_samples"": 10, ""feature_fraction"": 0.7, ""bagging_fraction"": 0.7, ""bagging_freq"": 3, ""reg_alpha"": 0.010669931050014689, ""reg_lambda"": 0.20441150004340583, ""min_split_gain"": 0.0008601103735613364, ""path_smooth"": 1.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,15,0.829692,27.57,"{""n_estimators"": 2400, ""learning_rate"": 0.0077236901462420585, ""num_leaves"": 15, ""max_depth"": 6, ""min_child_samples"": 120, ""feature_fraction"": 0.7, ""bagging_fraction"": 0.8, ""bagging_freq"": 7, ""reg_alpha"": 0.07269860076490685, ""reg_lambda"": 0.34005497708382804, ""min_split_gain"": 0.11538767748716573, ""path_smooth"": 1.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,16,0.861795,24.55,"{""n_estimators"": 1200, ""learning_rate"": 0.016808747149774754, ""num_leaves"": 23, ""max_depth"": 6, ""min_child_samples"": 80, ""feature_fraction"": 1.0, ""bagging_fraction"": 0.7, ""bagging_freq"": 0, ""reg_alpha"": 0.21915856859076766, ""reg_lambda"": 1.0925557076510284, ""min_split_gain"": 0.0007907263786132439, ""path_smooth"": 0.1, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,17,0.861019,15.36,"{""n_estimators"": 800, ""learning_rate"": 0.023513518680498034, ""num_leaves"": 47, ""max_depth"": 16, ""min_child_samples"": 120, ""feature_fraction"": 0.7, ""bagging_fraction"": 0.9, ""bagging_freq"": 3, ""reg_alpha"": 0.01929504736595702, ""reg_lambda"": 0.46405362728102817, ""min_split_gain"": 0.00011042873459186102, ""path_smooth"": 0.0, ""extra_trees"": true, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,18,0.873836,39.46,"{""n_estimators"": 600, ""learning_rate"": 0.028982424317420465, ""num_leaves"": 191, ""max_depth"": 7, ""min_child_samples"": 10, ""feature_fraction"": 1.0, ""bagging_fraction"": 0.9, ""bagging_freq"": 3, ""reg_alpha"": 0.036800936792224626, ""reg_lambda"": 4.627039494494509, ""min_split_gain"": 0.003328355124337156, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,19,0.864147,33.38,"{""n_estimators"": 600, ""learning_rate"": 0.006359676701450763, ""num_leaves"": 63, ""max_depth"": -1, ""min_child_samples"": 40, ""feature_fraction"": 0.5, ""bagging_fraction"": 0.9, ""bagging_freq"": 1, ""reg_alpha"": 0.36519722655616726, ""reg_lambda"": 0.0052443055153943915, ""min_split_gain"": 0.00010645503834305056, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,20,0.872696,138.45,"{""n_estimators"": 2400, ""learning_rate"": 0.0038415762342792923, ""num_leaves"": 95, ""max_depth"": 9, ""min_child_samples"": 40, ""feature_fraction"": 0.5, ""bagging_fraction"": 1.0, ""bagging_freq"": 10, ""reg_alpha"": 0.010841818336702877, ""reg_lambda"": 0.012104353670809245, ""min_split_gain"": 0.00047531160027973636, ""path_smooth"": 1.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
lgb,gender,21,0.875003,104.28,"{""n_estimators"": 3500, ""learning_rate"": 0.005075203353303976, ""num_leaves"": 95, ""max_depth"": 12, ""min_child_samples"": 10, ""feature_fraction"": 0.4, ""bagging_fraction"": 1.0, ""bagging_freq"": 3, ""reg_alpha"": 0.0012954894379474395, ""reg_lambda"": 0.0002337057800137141, ""min_split_gain"": 0.010358696743278712, ""path_smooth"": 0.0, ""extra_trees"": false, ""random_state"": 42, ""n_jobs"": -1, ""verbosity"": -1, ""objective"": ""binary"", ""metric"": ""auc""}"
